,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
140,141,Jujutsu Kaisen 0 Movie,8.47,212,811607,Movie,1,"['Action', 'Fantasy']",Shounen,2021-01-12,2021-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1121/119044.jpg?s=9f32dd788b86cbf6a26ac40c135950ba,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,2021,2021.0
141,142,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,607,369659,Movie,1,"['Award Winning', 'Drama', 'Fantasy', 'Suspense']",,2013-01-10,2013-01-10,https://cdn.myanimelist.net/r/100x140/images/anime/5/54231.jpg?s=0e59a78062d55d952b04c8bec44712f8,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,2013,2013.0
142,143,Rainbow: Nisha Rokubou no Shichinin,8.47,571,387790,TV,26,"['Drama', 'Suspense']",Seinen,2010-01-04,2010-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/9/72697.jpg?s=76f7fb906596b6afd179488a6ab62d69,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,2010,2010.0
143,144,Mo Dao Zu Shi: Wanjie Pian,8.46,2377,76057,ONA,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",,2021-01-08,2021-01-10,https://cdn.myanimelist.net/r/100x140/images/anime/1634/116782.jpg?s=23f39dc785a475b0233012eb5fe1aebd,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,2021,2021.0
144,145,Nichijou,8.46,186,872556,TV,26,['Comedy'],Shounen,2011-01-04,2011-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/3/75617.jpg?s=3616b527545e8c16b60c765f10bd21b7,https://myanimelist.net/anime/10165/Nichijou,2011,2011.0
145,146,Road of Naruto,8.46,3851,31183,ONA,1,"['Action', 'Fantasy']",Shounen,2022-01-10,2022-01-10,https://cdn.myanimelist.net/r/100x140/images/anime/1731/128787.jpg?s=e29ab44150368623dd534802743f68b3,https://myanimelist.net/anime/53236/Road_of_Naruto,2022,2022.0
146,147,Shiguang Dailiren II,8.46,2174,87744,ONA,12,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",,2023-01-07,2023-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1897/137108.jpg?s=119b4f9694dbb6f5c6b73bc413441f9d,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,2023,2023.0
147,148,Yuu☆Yuu☆Hakusho,8.46,292,668903,TV,112,"['Action', 'Fantasy']",Shounen,1992-01-10,1995-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/1228/111372.jpg?s=648decbb8fb73d3b0e7ecb8a34706a0e,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,1992,1995.0
148,149,Bungou Stray Dogs 4th Season,8.46,900,258404,TV,13,"['Action', 'Mystery', 'Supernatural']",Seinen,2023-01-01,2023-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1263/132759.jpg?s=3c07ea7b17c5f4cc47fa4fdf94ebc947,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,2023,2023.0
149,150,Chihayafuru 3,8.46,1586,136421,TV,24,"['Drama', 'Sports']",Josei,2019-01-10,2020-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1898/110709.jpg?s=c4ece415b8a785b0ce053b7e4992554d,https://myanimelist.net/anime/37379/Chihayafuru_3,2019,2020.0
150,151,Golden Kamuy 3rd Season,8.45,1397,161027,TV,12,"['Action', 'Adventure']",Seinen,2020-01-10,2020-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1763/108108.jpg?s=ee2b0b91c7d0141a437ad2cdef03bc27,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,2020,2020.0
151,152,Owarimonogatari,8.45,460,468832,TV,12,"['Comedy', 'Mystery', 'Supernatural']",,2015-01-10,2015-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/8/76479.jpg?s=e7dd0818eadf974920483aa9c134d953,https://myanimelist.net/anime/31181/Owarimonogatari,2015,2015.0
